Id_produktu,Producent,Nazwa,Pojemnosc,Jednostka,Cena_netto,VAT,Cena_brutto,Cena_strona,Marza,Status
64,Invent Farm,L-teanina,30,kapsułki,50.26,0.23,61.82,77.89,0.26,Aktywny
65,Lab One,Krzem Organiczny,60,kapsułki,65.06,0.08,70.26,99.07,0.41,Aktywny
66,Medica Herbs,Probiotyk 10 szczepów,120,tabletki,66.82,0.23,82.19,118.35,0.44,Aktywny
67,Star Life,Saccharomyces Boulardii,60,kapsułki,121.57,0.08,131.3,151.0,0.15,Aktywny
68,Organis,Potas,120,kapsułki,86.86,0.23,106.84,129.28,0.21,Aktywny
69,Aliness,Probiotyk 10 szczepów,150,ml,71.39,0.05,74.96,83.21,0.11,Aktywny
70,Solgar,Selen + E,90,kapsułki,148.27,0.23,182.37,260.79,0.43,Nieaktywny
71,Yango,Miedź Chelatowana,250,ml,70.37,0.05,73.89,102.71,0.39,Aktywny
72,UNS,Bacopa Monnieri,180,kapsułki,135.53,0.08,146.37,215.16,0.47,Aktywny
73,Diochi,Maca Bio,120,kapsułki,108.38,0.08,117.05,134.61,0.15,Aktywny
74,Inwet Herbs,Cynk organiczny,20,ml,92.9,0.05,97.55,144.37,0.48,Nieaktywny
75,MyVita,Maca Bio,250,ml,128.06,0.05,134.46,149.25,0.11,Aktywny
76,MyVita,Witamina C,60,tabletki,148.91,0.08,160.82,213.89,0.33,Aktywny
77,Organis,Melatonina 1mg,180,tabletki,97.61,0.23,120.06,172.89,0.44,Aktywny
78,Lab One,Witamina K2 MK-7,50,ml,118.61,0.05,124.54,185.56,0.49,Aktywny
79,Pileje,Potas,180,tabletki,131.13,0.08,141.62,161.45,0.14,Nieaktywny
80,Mito-Pharma,Melatonina 1mg,1000,ml,76.4,0.05,80.22,89.04,0.11,Aktywny
81,Invent Farm,Ashwagandha Extra,500,ml,76.35,0.05,80.17,104.22,0.3,Aktywny
82,Yango,Magnez 4 formy,300,tabletki,144.41,0.08,155.96,174.68,0.12,Aktywny
83,Alto Pharma,Maślan sodu,30,kapsułki,132.29,0.23,162.72,229.44,0.41,Aktywny
84,Biowen,Witamina E naturalna,300,kapsułki,84.53,0.23,103.97,147.64,0.42,Aktywny
85,UNS,Witamina E naturalna,300,kapsułki,118.55,0.23,145.82,195.4,0.34,Aktywny
86,Mito-Pharma,Koenzym Q10,180,kapsułki,109.49,0.08,118.25,153.72,0.3,Aktywny
87,Solgar,Maca Bio,120,kapsułki,75.83,0.23,93.27,135.24,0.45,Aktywny
88,Lab One,Żelazo w płynie,150,ml,147.05,0.05,154.4,185.28,0.2,Aktywny
89,Aliness,Omega-3 z alg,90,kapsułki,59.36,0.23,73.01,100.75,0.38,Aktywny
90,Medica Herbs,Żelazo w płynie,90,kapsułki,88.68,0.08,95.77,136.95,0.43,Aktywny
91,Organis,Omega-3 z alg,120,tabletki,129.36,0.23,159.11,232.3,0.46,Aktywny
92,Aliness,Cynk organiczny,120,tabletki,131.05,0.08,141.53,164.17,0.16,Aktywny
93,Medica Herbs,Saccharomyces Boulardii,180,tabletki,60.12,0.08,64.93,81.81,0.26,Aktywny
94,Lab One,Krzem Organiczny,30,tabletki,111.04,0.23,136.58,200.77,0.47,Aktywny
95,Invent Farm,Witamina D,120,tabletki,96.9,0.23,119.19,165.67,0.39,Aktywny
96,Mito-Pharma,Magnez 4 formy,90,tabletki,130.53,0.08,140.97,207.23,0.47,Aktywny
97,Progress Labs,Magnez 4 formy,180,tabletki,124.7,0.23,153.38,230.07,0.5,Aktywny
98,Formeds,Żelazo w płynie,180,kapsułki,78.54,0.23,96.6,142.97,0.48,Aktywny
99,Invent Farm,Witamina A,150,ml,67.29,0.05,70.65,85.49,0.21,Nieaktywny
100,MyVita,Witamina E naturalna,120,tabletki,56.83,0.08,61.38,88.39,0.44,Aktywny
101,Biowen,NAC 600mg,90,tabletki,88.93,0.23,109.38,121.41,0.11,Aktywny
102,Health Labs,Krzem Organiczny,120,kapsułki,107.68,0.08,116.29,131.41,0.13,Aktywny
103,NatVita,Magnez 4 formy,300,kapsułki,135.3,0.08,146.12,165.12,0.13,Aktywny
104,Pileje,Witamina A,30,kapsułki,115.61,0.23,142.2,200.5,0.41,Nieaktywny
105,Kenay,Synbiotyk z Inuliną,90,kapsułki,132.59,0.08,143.2,157.52,0.1,Aktywny
106,Yango,Żelazo w płynie,180,tabletki,67.29,0.23,82.77,95.19,0.15,Aktywny
107,Invent Farm,Kolagen Type II,90,tabletki,55.68,0.23,68.49,93.83,0.37,Aktywny
108,Solgar,Bacopa Monnieri,60,tabletki,81.46,0.08,87.98,112.61,0.28,Aktywny
109,Skoczylas,NAC 600mg,50,ml,54.96,0.05,57.71,64.06,0.11,Nieaktywny
110,Medica Herbs,Bacopa Monnieri,60,kapsułki,61.72,0.23,75.92,90.34,0.19,Aktywny
111,Medica Herbs,Maca Bio,50,ml,92.89,0.05,97.53,122.89,0.26,Aktywny
112,Pharmovit,Melatonina 1mg,180,tabletki,134.07,0.08,144.8,167.97,0.16,Nieaktywny
113,Mito-Pharma,Magnez 4 formy,90,tabletki,85.67,0.23,105.37,140.14,0.33,Aktywny
114,Pharmovit,Kolagen Type II,150,ml,81.54,0.05,85.62,107.88,0.26,Aktywny
115,Progress Labs,Kurkumina C3,150,ml,99.6,0.05,104.58,131.77,0.26,Aktywny
116,Progress Labs,Bacopa Monnieri,20,ml,71.97,0.05,75.57,104.29,0.38,Aktywny
117,Diochi,Miedź Chelatowana,50,ml,140.95,0.05,148.0,176.12,0.19,Aktywny
118,UNS,Witamina D,120,tabletki,124.29,0.23,152.88,180.4,0.18,Aktywny
119,Solgar,Omega-3 z alg,50,ml,119.12,0.05,125.08,143.84,0.15,Aktywny
120,Skoczylas,Maślan sodu,90,tabletki,81.54,0.08,88.06,118.88,0.35,Aktywny
121,HempKing,Gotu Kola,20,ml,126.44,0.05,132.76,196.48,0.48,Aktywny
122,Formeds,Cynk organiczny,120,kapsułki,82.27,0.08,88.85,121.72,0.37,Aktywny
123,Wish,Melatonina 1mg,90,kapsułki,111.94,0.08,120.9,160.8,0.33,Aktywny
124,HempKing,L-teanina,30,ml,126.56,0.05,132.89,151.49,0.14,Aktywny
125,NatVita,Probiotyk 10 szczepów,180,tabletki,55.89,0.23,68.74,101.05,0.47,Aktywny
126,HempKing,Kolagen Type II,30,kapsułki,141.08,0.08,152.37,227.03,0.49,Aktywny
127,Invent Farm,Maca Bio,50,ml,67.53,0.05,70.91,98.56,0.39,Aktywny
128,Biowen,Synbiotyk z Inuliną,250,ml,83.26,0.05,87.42,107.53,0.23,Nieaktywny
129,Organis,Witamina A,300,tabletki,85.99,0.08,92.87,135.59,0.46,Aktywny
130,Pharmovit,Saccharomyces Boulardii,50,ml,107.05,0.05,112.4,131.51,0.17,Aktywny
131,Pharmovit,Maca Bio,30,kapsułki,89.14,0.23,109.64,134.86,0.23,Aktywny
132,Mito-Pharma,Żelazo w płynie,30,tabletki,60.92,0.08,65.79,84.87,0.29,Aktywny
133,UNS,Różeniec górski,300,tabletki,65.12,0.08,70.33,87.21,0.24,Aktywny
134,Mito-Pharma,Cynk organiczny,90,kapsułki,96.97,0.08,104.73,121.49,0.16,Aktywny
135,Kenay,Ashwagandha Extra,90,tabletki,137.47,0.08,148.47,169.26,0.14,Nieaktywny
136,Health Labs,Witamina K2 MK-7,180,kapsułki,145.03,0.23,178.39,222.99,0.25,Aktywny
137,Wish,Melatonina 1mg,60,tabletki,87.49,0.08,94.49,124.73,0.32,Aktywny
138,Progress Labs,Probiotyk 10 szczepów,60,tabletki,82.58,0.23,101.57,135.09,0.33,Aktywny
139,MyVita,Selen + E,60,tabletki,65.18,0.08,70.39,83.06,0.18,Nieaktywny
140,Inwet Herbs,Cynk organiczny,1000,ml,68.47,0.05,71.89,84.83,0.18,Aktywny
141,Mito-Pharma,Kurkumina C3,150,ml,62.81,0.05,65.95,88.37,0.34,Nieaktywny
142,Medica Herbs,Żelazo w płynie,60,kapsułki,83.46,0.08,90.14,120.79,0.34,Nieaktywny
143,Progress Labs,Maślan sodu,30,kapsułki,133.96,0.08,144.68,176.51,0.22,Aktywny
144,Medica Herbs,Witamina C,90,tabletki,109.6,0.23,134.81,163.12,0.21,Nieaktywny
145,Formeds,Selen + E,30,ml,92.57,0.05,97.2,108.86,0.12,Aktywny
146,Yango,Witamina A,300,tabletki,86.95,0.08,93.91,110.81,0.18,Aktywny
147,Kenay,Witamina E naturalna,50,ml,56.3,0.05,59.12,75.67,0.28,Aktywny
148,Aliness,Synbiotyk z Inuliną,120,tabletki,88.65,0.23,109.04,142.84,0.31,Aktywny
149,HempKing,Kolagen Type II,500,ml,73.88,0.05,77.57,98.51,0.27,Aktywny
150,Organis,Kurkumina C3,60,tabletki,139.18,0.08,150.31,205.92,0.37,Aktywny
151,NatVita,Ginkgo Biloba,90,tabletki,97.93,0.08,105.76,124.8,0.18,Aktywny
152,Pharmovit,Potas,60,kapsułki,145.57,0.23,179.05,245.3,0.37,Aktywny
153,Organis,Selen + E,120,kapsułki,94.2,0.23,115.87,132.09,0.14,Nieaktywny
154,Inwet Herbs,Ginkgo Biloba,150,ml,124.86,0.05,131.1,180.92,0.38,Aktywny
155,Alto Pharma,Różeniec górski,150,ml,83.4,0.05,87.57,113.84,0.3,Aktywny
156,Pileje,Witamina D,90,tabletki,134.77,0.08,145.55,180.48,0.24,Aktywny
157,Invent Farm,Magnez 4 formy,30,ml,107.0,0.05,112.35,130.33,0.16,Aktywny
158,Lab One,Koenzym Q10,1000,ml,64.91,0.05,68.16,96.79,0.42,Nieaktywny
159,Skoczylas,Miedź Chelatowana,120,kapsułki,124.32,0.23,152.91,214.07,0.4,Aktywny
160,Health Labs,Potas,180,tabletki,78.16,0.23,96.14,123.06,0.28,Nieaktywny
161,Mito-Pharma,Kolagen Type II,20,ml,70.56,0.05,74.09,91.13,0.23,Aktywny
162,Lab One,Ginkgo Biloba,1000,ml,65.53,0.05,68.81,99.77,0.45,Aktywny
163,UNS,Selen + E,30,kapsułki,104.63,0.23,128.69,157.0,0.22,Aktywny
164,Wish,Bacopa Monnieri,300,tabletki,52.65,0.23,64.76,89.37,0.38,Nieaktywny
165,Alto Pharma,Różeniec górski,30,ml,73.01,0.05,76.66,87.39,0.14,Aktywny
166,Health Labs,Melatonina 1mg,500,ml,100.23,0.05,105.24,143.13,0.36,Aktywny
167,Organis,Kolagen Type II,120,kapsułki,135.99,0.08,146.87,201.21,0.37,Aktywny
168,Star Life,NAC 600mg,1000,ml,88.55,0.05,92.98,123.66,0.33,Aktywny
169,Pharmovit,Witamina K2 MK-7,180,kapsułki,131.97,0.08,142.53,166.76,0.17,Aktywny
170,Health Labs,Ashwagandha Extra,180,kapsułki,96.06,0.08,103.74,119.3,0.15,Aktywny
171,Formeds,Ginkgo Biloba,300,tabletki,112.37,0.08,121.36,161.41,0.33,Aktywny
172,Invent Farm,Selen + E,90,kapsułki,117.92,0.23,145.04,187.1,0.29,Aktywny
173,Skoczylas,Różeniec górski,50,ml,136.28,0.05,143.09,160.26,0.12,Aktywny
174,Organis,Kolagen Type II,300,kapsułki,105.66,0.08,114.11,170.02,0.49,Aktywny
175,Diochi,Żelazo w płynie,30,kapsułki,114.92,0.23,141.35,175.27,0.24,Nieaktywny
176,UNS,Synbiotyk z Inuliną,250,ml,75.84,0.05,79.63,95.56,0.2,Aktywny
177,MyVita,Witamina A,1000,ml,100.7,0.05,105.74,117.37,0.11,Aktywny
178,Pharmovit,Witamina E naturalna,60,tabletki,61.59,0.23,75.76,86.37,0.14,Aktywny
179,NatVita,Witamina K2 MK-7,300,kapsułki,131.08,0.23,161.23,237.01,0.47,Nieaktywny
180,Inwet Herbs,Krzem Organiczny,30,ml,89.15,0.05,93.61,107.65,0.15,Aktywny
181,Organis,Miedź Chelatowana,30,kapsułki,95.87,0.23,117.92,162.73,0.38,Aktywny
182,MyVita,Miedź Chelatowana,300,tabletki,86.28,0.08,93.18,116.48,0.25,Aktywny
183,Skoczylas,Krzem Organiczny,30,tabletki,147.85,0.08,159.68,237.92,0.49,Aktywny
184,Inwet Herbs,Selen + E,500,ml,115.85,0.05,121.64,181.24,0.49,Aktywny
185,HempKing,Cynk organiczny,1000,ml,135.74,0.05,142.53,208.09,0.46,Nieaktywny
186,Sanct Bernhard,Witamina D,50,ml,87.43,0.05,91.8,111.08,0.21,Aktywny
187,Yango,Bacopa Monnieri,60,kapsułki,132.06,0.08,142.62,178.28,0.25,Aktywny
188,Diochi,Synbiotyk z Inuliną,250,ml,130.32,0.05,136.84,203.89,0.49,Aktywny
189,Formeds,Witamina D,180,tabletki,111.14,0.08,120.03,154.84,0.29,Aktywny
190,Formeds,Żeń-Szeń Koreański,1000,ml,105.14,0.05,110.4,136.9,0.24,Aktywny
191,HempKing,Gotu Kola,60,kapsułki,134.15,0.08,144.88,178.2,0.23,Aktywny
192,Yango,Krzem Organiczny,60,kapsułki,68.58,0.08,74.07,96.29,0.3,Aktywny
193,Solgar,Bacopa Monnieri,120,kapsułki,74.85,0.08,80.84,101.05,0.25,Nieaktywny
194,Wish,L-teanina,300,tabletki,124.64,0.23,153.31,177.84,0.16,Aktywny
195,Sanct Bernhard,Cynk organiczny,30,kapsułki,146.63,0.23,180.35,223.63,0.24,Aktywny
196,Organis,NAC 600mg,60,tabletki,114.91,0.23,141.34,162.54,0.15,Nieaktywny
197,UNS,Cynk organiczny,300,kapsułki,113.53,0.23,139.64,201.08,0.44,Aktywny
198,Star Life,Krzem Organiczny,60,kapsułki,78.27,0.23,96.27,125.15,0.3,Aktywny
199,Aliness,Magnez 4 formy,120,kapsułki,145.58,0.08,157.23,205.97,0.31,Aktywny
200,Biowen,Witamina C,300,kapsułki,132.78,0.23,163.32,223.75,0.37,Aktywny
201,Yango,Kolagen Type II,90,tabletki,146.73,0.08,158.47,179.07,0.13,Aktywny
202,Kenay,Ashwagandha Extra,50,ml,68.25,0.05,71.66,93.16,0.3,Aktywny
203,Mito-Pharma,Krzem Organiczny,120,tabletki,96.21,0.08,103.91,150.67,0.45,Aktywny
204,Wish,Witamina K2 MK-7,30,kapsułki,126.26,0.08,136.36,197.72,0.45,Nieaktywny
205,Star Life,Witamina D,150,ml,52.81,0.05,55.45,65.99,0.19,Aktywny
206,Pileje,Bacopa Monnieri,50,ml,117.15,0.05,123.01,169.75,0.38,Aktywny
207,HempKing,Maślan sodu,180,tabletki,54.97,0.23,67.61,81.81,0.21,Aktywny
208,Progress Labs,Potas,150,ml,116.0,0.05,121.8,137.63,0.13,Aktywny
209,HempKing,Selen + E,120,kapsułki,59.7,0.08,64.48,92.85,0.44,Aktywny
210,HempKing,Witamina D,300,kapsułki,129.11,0.08,139.44,206.37,0.48,Aktywny
211,Solgar,Krzem Organiczny,30,tabletki,86.19,0.08,93.09,105.19,0.13,Aktywny
212,Aliness,Witamina K2 MK-7,500,ml,139.43,0.05,146.4,196.18,0.34,Aktywny
213,Pileje,Miedź Chelatowana,300,kapsułki,113.55,0.23,139.67,201.12,0.44,Aktywny
214,Organis,Witamina C,60,tabletki,82.74,0.23,101.77,143.5,0.41,Aktywny
215,Star Life,Bacopa Monnieri,30,kapsułki,128.47,0.23,158.02,230.71,0.46,Nieaktywny
216,NatVita,Saccharomyces Boulardii,120,kapsułki,51.21,0.23,62.99,91.34,0.45,Nieaktywny
217,Mito-Pharma,Miedź Chelatowana,120,tabletki,142.96,0.08,154.4,214.62,0.39,Aktywny
218,Kenay,Omega-3 z alg,90,tabletki,58.81,0.08,63.51,75.58,0.19,Aktywny
219,Progress Labs,Maślan sodu,500,ml,59.73,0.05,62.72,76.52,0.22,Aktywny
220,MyVita,Ginkgo Biloba,90,tabletki,141.22,0.08,152.52,228.78,0.5,Nieaktywny
221,Alto Pharma,Ashwagandha Extra,30,tabletki,69.01,0.23,84.88,98.46,0.16,Aktywny
222,Skoczylas,Probiotyk 10 szczepów,50,ml,65.63,0.05,68.91,84.07,0.22,Aktywny
223,Pileje,Selen + E,30,kapsułki,137.85,0.23,169.56,242.47,0.43,Aktywny
224,Kenay,Krzem Organiczny,250,ml,63.32,0.05,66.49,95.08,0.43,Aktywny
225,Medica Herbs,Selen + E,300,kapsułki,97.17,0.08,104.94,137.47,0.31,Aktywny
226,Invent Farm,Żeń-Szeń Koreański,150,ml,128.79,0.05,135.23,178.5,0.32,Aktywny
227,Medica Herbs,Witamina E naturalna,180,kapsułki,82.5,0.23,101.47,127.85,0.26,Aktywny
228,Progress Labs,L-teanina,180,tabletki,137.82,0.08,148.85,200.95,0.35,Aktywny
229,Solgar,Bacopa Monnieri,90,kapsułki,68.04,0.08,73.48,99.2,0.35,Aktywny
230,Progress Labs,Saccharomyces Boulardii,300,kapsułki,111.68,0.23,137.37,151.11,0.1,Aktywny
231,Star Life,Omega-3 z alg,120,kapsułki,75.04,0.23,92.3,125.53,0.36,Aktywny
232,Organis,Witamina D,30,tabletki,131.66,0.23,161.94,208.9,0.29,Nieaktywny
233,Organis,Omega-3 z alg,150,ml,132.42,0.05,139.04,204.39,0.47,Aktywny
234,Solgar,Witamina E naturalna,180,tabletki,51.31,0.23,63.11,71.31,0.13,Aktywny
235,Wish,L-teanina,180,kapsułki,53.16,0.08,57.41,64.87,0.13,Nieaktywny
236,Star Life,Maca Bio,250,ml,59.73,0.05,62.72,85.3,0.36,Aktywny
237,Yango,Potas,30,tabletki,78.49,0.08,84.77,93.25,0.1,Aktywny
238,Progress Labs,Kolagen Type II,1000,ml,75.3,0.05,79.06,97.24,0.23,Nieaktywny
239,Inwet Herbs,Gotu Kola,30,ml,84.91,0.05,89.16,115.02,0.29,Aktywny
240,Medica Herbs,Cynk organiczny,500,ml,128.55,0.05,134.98,152.53,0.13,Nieaktywny
241,Aliness,Bacopa Monnieri,90,kapsułki,90.2,0.08,97.42,142.23,0.46,Aktywny
242,UNS,Cynk organiczny,90,kapsułki,58.85,0.23,72.39,102.79,0.42,Aktywny
243,Aliness,Saccharomyces Boulardii,30,tabletki,114.22,0.23,140.49,171.4,0.22,Aktywny
244,Health Labs,Selen + E,120,kapsułki,66.01,0.08,71.29,92.68,0.3,Aktywny
245,Kenay,Żelazo w płynie,500,ml,118.49,0.05,124.41,140.58,0.13,Aktywny
246,Diochi,Selen + E,90,kapsułki,122.22,0.08,132.0,183.48,0.39,Aktywny
247,UNS,L-teanina,300,kapsułki,109.09,0.08,117.82,175.55,0.49,Aktywny
248,Wish,L-teanina,120,kapsułki,58.84,0.08,63.55,69.91,0.1,Aktywny
249,HempKing,Maca Bio,120,tabletki,135.8,0.23,167.03,222.15,0.33,Aktywny
250,Star Life,Ashwagandha Extra,300,tabletki,116.72,0.23,143.57,193.82,0.35,Aktywny
251,Biowen,Synbiotyk z Inuliną,120,tabletki,142.28,0.23,175.0,222.25,0.27,Nieaktywny
252,UNS,Selen + E,150,ml,127.26,0.05,133.62,191.08,0.43,Nieaktywny
253,Yango,Różeniec górski,30,tabletki,59.63,0.08,64.4,94.67,0.47,Aktywny
254,MyVita,Kurkumina C3,20,ml,82.42,0.05,86.54,128.94,0.49,Aktywny
255,Formeds,Witamina K2 MK-7,180,kapsułki,149.41,0.23,183.77,205.82,0.12,Aktywny
256,Wish,Maca Bio,120,kapsułki,109.32,0.23,134.46,201.69,0.5,Aktywny
257,Wish,Witamina C,90,kapsułki,88.21,0.23,108.5,158.41,0.46,Nieaktywny
258,Organis,Maślan sodu,180,tabletki,71.47,0.23,87.91,123.07,0.4,Aktywny
259,UNS,Magnez 4 formy,20,ml,86.08,0.05,90.38,103.94,0.15,Aktywny
260,Mito-Pharma,Saccharomyces Boulardii,1000,ml,140.0,0.05,147.0,186.69,0.27,Aktywny
261,Solgar,Witamina K2 MK-7,180,kapsułki,97.76,0.08,105.58,127.75,0.21,Aktywny
262,Biowen,Żeń-Szeń Koreański,60,kapsułki,104.22,0.23,128.19,179.47,0.4,Aktywny
263,Mito-Pharma,Gotu Kola,300,tabletki,149.74,0.23,184.18,241.28,0.31,Aktywny
264,Yango,Ginkgo Biloba,1000,ml,137.34,0.05,144.21,214.87,0.49,Aktywny
265,Pileje,Synbiotyk z Inuliną,30,ml,68.86,0.05,72.3,80.25,0.11,Aktywny
266,UNS,Witamina A,180,kapsułki,149.56,0.23,183.96,224.43,0.22,Aktywny
267,Inwet Herbs,Probiotyk 10 szczepów,90,kapsułki,124.81,0.23,153.52,185.76,0.21,Aktywny
268,Progress Labs,Maślan sodu,300,kapsułki,149.69,0.23,184.12,209.9,0.14,Nieaktywny
269,Pileje,NAC 600mg,500,ml,121.62,0.05,127.7,178.78,0.4,Aktywny
270,Health Labs,Gotu Kola,120,tabletki,55.31,0.08,59.73,71.08,0.19,Aktywny
271,Aliness,Kolagen Type II,90,kapsułki,61.68,0.08,66.61,93.25,0.4,Aktywny
272,Organis,Saccharomyces Boulardii,150,ml,52.15,0.05,54.76,79.4,0.45,Aktywny
273,Aliness,Maca Bio,1000,ml,82.6,0.05,86.73,116.22,0.34,Aktywny
274,UNS,Krzem Organiczny,500,ml,108.15,0.05,113.56,153.31,0.35,Aktywny
275,Yango,Koenzym Q10,120,tabletki,77.55,0.08,83.75,123.95,0.48,Aktywny
276,Wish,Maślan sodu,500,ml,94.47,0.05,99.19,126.96,0.28,Aktywny
