Id_zamowienia,Przewoznik,Format_dostawy,Status,Data_wysylki
181,DPD,Kurier Pobranie,Anulowane,NULL
182,InPost,Kurier Pobranie,Dostarczone,2024-04-22
183,UPS,Kurier Pobranie,Dostarczone,2023-04-05
184,InPost,Kurier,Dostarczone,2024-02-17
185,UPS,Kurier,Dostarczone,2022-03-05
186,UPS,Kurier,Dostarczone,2023-10-07
187,DHL,Kurier Pobranie,Dostarczone,2020-02-05
188,DHL,Kurier,Dostarczone,2024-09-05
189,DPD,Kurier Pobranie,Dostarczone,2024-04-12
190,DPD,Kurier Pobranie,Dostarczone,2024-04-07
191,UPS,Kurier,Dostarczone,2020-12-24
192,DHL,Kurier Pobranie,Dostarczone,2020-09-04
193,InPost,Kurier Pobranie,Dostarczone,2024-11-27
194,DPD,Kurier,Dostarczone,2024-07-15
195,UPS,Kurier,Anulowane,NULL
196,DPD,Kurier Pobranie,Anulowane,NULL
197,UPS,Kurier,Dostarczone,2024-10-01
198,DHL,Kurier Pobranie,Dostarczone,2024-12-02
199,InPost,Kurier Pobranie,Anulowane,NULL
200,UPS,Kurier Pobranie,Dostarczone,2020-04-10
201,UPS,Kurier,Dostarczone,2024-03-01
202,InPost,Paczkomat,Dostarczone,2024-12-30
203,DPD,Kurier,Dostarczone,2020-04-13
204,DHL,Kurier Pobranie,Dostarczone,2022-12-29
205,DPD,Kurier Pobranie,Dostarczone,2021-01-08
206,DPD,Kurier,Dostarczone,2024-11-04
207,Pocztex,Kurier,Dostarczone,2021-09-08
208,DHL,Paczkomat,Dostarczone,2023-01-19
209,DHL,Kurier,Dostarczone,2020-08-16
210,DPD,Kurier Pobranie,Dostarczone,2022-10-14
211,UPS,Kurier,Anulowane,NULL
212,Pocztex,Kurier,Dostarczone,2024-08-10
213,Pocztex,Kurier,Anulowane,NULL
214,InPost,Paczkomat,Anulowane,NULL
215,InPost,Kurier,Dostarczone,2024-12-17
216,DHL,Kurier,Dostarczone,2024-06-14
217,DPD,Kurier,Anulowane,NULL
218,UPS,Kurier,Dostarczone,2023-07-24
219,DPD,Kurier,Anulowane,NULL
220,InPost,Kurier Pobranie,Dostarczone,2024-11-28
221,Pocztex,Kurier Pobranie,Dostarczone,2021-09-21
222,Pocztex,Kurier Pobranie,Dostarczone,2024-12-07
223,DPD,Kurier,Dostarczone,2024-03-10
224,UPS,Kurier,Dostarczone,2024-09-18
225,DHL,Paczkomat,Dostarczone,2021-12-05
226,DHL,Kurier,Anulowane,NULL
227,UPS,Kurier,Dostarczone,2020-12-12
228,InPost,Kurier Pobranie,Dostarczone,2020-11-07
229,UPS,Kurier Pobranie,Dostarczone,2023-04-06
230,UPS,Kurier,Dostarczone,2024-12-17
231,Pocztex,Kurier Pobranie,Dostarczone,2024-09-20
232,Pocztex,Kurier,Dostarczone,2021-10-17
233,DHL,Paczkomat,Dostarczone,2024-10-19
234,DHL,Kurier,Anulowane,NULL
235,UPS,Kurier,Dostarczone,2024-12-06
236,DHL,Kurier,Dostarczone,2024-12-31
237,Pocztex,Kurier Pobranie,Dostarczone,2024-09-18
238,DPD,Kurier Pobranie,Dostarczone,2020-02-24
239,Pocztex,Kurier Pobranie,Dostarczone,2023-01-19
240,UPS,Kurier Pobranie,Dostarczone,2023-07-15
241,UPS,Kurier,Dostarczone,2024-01-30
242,DHL,Kurier Pobranie,Dostarczone,2024-06-22
243,InPost,Kurier,Anulowane,NULL
244,InPost,Kurier,Anulowane,NULL
245,Pocztex,Kurier Pobranie,Dostarczone,2020-09-20
246,Pocztex,Kurier Pobranie,Dostarczone,2022-10-11
247,Pocztex,Kurier Pobranie,Dostarczone,2021-05-03
248,Pocztex,Kurier Pobranie,Anulowane,NULL
249,UPS,Kurier Pobranie,Anulowane,NULL
250,Pocztex,Kurier Pobranie,Dostarczone,2024-06-13
251,UPS,Kurier,Dostarczone,2024-12-31
252,Pocztex,Kurier,Dostarczone,2020-09-21
253,InPost,Kurier,Dostarczone,2024-04-19
254,InPost,Kurier Pobranie,Dostarczone,2023-12-25
255,UPS,Kurier Pobranie,Dostarczone,2021-07-28
256,InPost,Paczkomat,Anulowane,NULL
257,InPost,Kurier Pobranie,Dostarczone,2023-01-20
258,DPD,Kurier Pobranie,Dostarczone,2024-01-21
259,UPS,Kurier Pobranie,Dostarczone,2024-12-31
260,DPD,Kurier,Dostarczone,2023-07-10
261,DPD,Kurier Pobranie,Dostarczone,2021-08-13
262,DHL,Paczkomat,Anulowane,NULL
263,DPD,Kurier Pobranie,Dostarczone,2020-07-24
264,Pocztex,Kurier,Dostarczone,2022-05-31
265,DPD,Kurier Pobranie,Dostarczone,2023-09-04
266,UPS,Kurier Pobranie,Dostarczone,2023-06-24
267,InPost,Kurier,Anulowane,NULL
268,UPS,Kurier Pobranie,Anulowane,NULL
269,Pocztex,Kurier,Dostarczone,2022-11-17
270,UPS,Kurier Pobranie,Dostarczone,2024-08-01
271,UPS,Kurier,Dostarczone,2024-03-10
272,UPS,Kurier Pobranie,Dostarczone,2023-02-21
273,UPS,Kurier Pobranie,Dostarczone,2023-11-11
274,InPost,Kurier,Dostarczone,2022-11-25
275,DHL,Kurier,Anulowane,NULL
276,DPD,Kurier,Dostarczone,2024-05-19
277,DHL,Paczkomat,Dostarczone,2024-07-17
278,DPD,Kurier Pobranie,Dostarczone,2022-03-05
279,InPost,Kurier,Dostarczone,2024-04-08
280,UPS,Kurier Pobranie,Dostarczone,2021-01-17
281,DPD,Kurier Pobranie,Dostarczone,2020-07-30
282,Pocztex,Kurier Pobranie,Anulowane,NULL
283,Pocztex,Kurier,Dostarczone,2021-06-22
284,Pocztex,Kurier Pobranie,Dostarczone,2023-09-18
285,UPS,Kurier Pobranie,Dostarczone,2024-12-30
286,UPS,Kurier Pobranie,Dostarczone,2020-09-14
287,UPS,Kurier,Dostarczone,2023-06-23
288,DPD,Kurier,Dostarczone,2024-07-31
289,UPS,Kurier Pobranie,Dostarczone,2022-07-17
290,DPD,Kurier,Anulowane,NULL
291,Pocztex,Kurier,Anulowane,NULL
292,Pocztex,Kurier,Anulowane,NULL
293,DHL,Paczkomat,Anulowane,NULL
294,DPD,Kurier,Anulowane,NULL
295,Pocztex,Kurier,Dostarczone,2023-05-21
296,DPD,Kurier,Dostarczone,2023-05-07
297,DHL,Paczkomat,Dostarczone,2024-07-07
298,DPD,Kurier Pobranie,Dostarczone,2020-07-23
299,DPD,Kurier Pobranie,Dostarczone,2023-05-11
300,Pocztex,Kurier,Dostarczone,2024-02-22
301,DHL,Paczkomat,Dostarczone,2022-12-25
302,DPD,Kurier,Dostarczone,2022-07-02
303,UPS,Kurier,Dostarczone,2024-08-06
304,DHL,Kurier Pobranie,Anulowane,NULL
305,DHL,Kurier Pobranie,Dostarczone,2022-07-01
306,Pocztex,Kurier Pobranie,Dostarczone,2022-12-09
307,InPost,Kurier Pobranie,Dostarczone,2024-07-18
308,DHL,Paczkomat,Dostarczone,2024-11-04
309,InPost,Kurier Pobranie,Anulowane,NULL
310,DPD,Kurier,Dostarczone,2023-10-11
311,InPost,Kurier Pobranie,Dostarczone,2022-01-31
312,InPost,Kurier Pobranie,Dostarczone,2024-11-12
313,InPost,Paczkomat,Dostarczone,2020-04-21
314,UPS,Kurier Pobranie,Dostarczone,2023-12-28
315,InPost,Kurier Pobranie,Dostarczone,2021-03-21
316,Pocztex,Kurier Pobranie,Anulowane,NULL
317,UPS,Kurier,Anulowane,NULL
318,Pocztex,Kurier Pobranie,Dostarczone,2023-09-18
319,DHL,Kurier,Dostarczone,2024-12-21
320,DPD,Kurier Pobranie,Anulowane,NULL
321,DPD,Kurier Pobranie,Dostarczone,2024-11-21
322,DPD,Kurier Pobranie,Dostarczone,2024-08-27
323,Pocztex,Kurier,Dostarczone,2022-02-20
324,Pocztex,Kurier,Dostarczone,2022-11-03
325,UPS,Kurier,Dostarczone,2022-08-14
326,UPS,Kurier Pobranie,Dostarczone,2024-05-18
327,DPD,Kurier Pobranie,Dostarczone,2021-01-30
328,DPD,Kurier,Dostarczone,2024-11-16
329,Pocztex,Kurier Pobranie,Dostarczone,2024-07-04
330,Pocztex,Kurier,Anulowane,NULL
331,UPS,Kurier,Dostarczone,2024-03-17
332,DPD,Kurier Pobranie,Dostarczone,2024-12-07
333,DHL,Paczkomat,Dostarczone,2022-11-14
334,DPD,Kurier,Dostarczone,2021-05-18
335,DHL,Paczkomat,Dostarczone,2022-10-29
336,Pocztex,Kurier,Dostarczone,2024-06-20
337,InPost,Kurier,Dostarczone,2024-05-14
338,DHL,Paczkomat,Dostarczone,2023-08-07
339,UPS,Kurier Pobranie,Anulowane,NULL
340,UPS,Kurier,Anulowane,NULL
341,DHL,Kurier,Dostarczone,2022-12-08
342,Pocztex,Kurier,Dostarczone,2022-04-21
343,InPost,Kurier Pobranie,Dostarczone,2023-08-28
344,UPS,Kurier,Dostarczone,2024-01-28
345,UPS,Kurier,Dostarczone,2024-02-07
346,DPD,Kurier Pobranie,Dostarczone,2023-01-13
347,UPS,Kurier,Dostarczone,2023-09-07
348,InPost,Kurier Pobranie,Dostarczone,2024-01-22
349,InPost,Paczkomat,Dostarczone,2024-08-26
350,DHL,Paczkomat,Dostarczone,2023-06-29
351,DHL,Kurier Pobranie,Dostarczone,2024-05-09
352,DHL,Paczkomat,Dostarczone,2024-01-28
353,Pocztex,Kurier Pobranie,Anulowane,NULL
354,UPS,Kurier,Dostarczone,2023-07-27
355,UPS,Kurier Pobranie,Dostarczone,2024-02-27
356,DPD,Kurier,Dostarczone,2023-12-29
357,DHL,Paczkomat,Dostarczone,2024-07-06
358,Pocztex,Kurier,Dostarczone,2020-05-08
359,DPD,Kurier,Dostarczone,2021-12-12
360,DHL,Paczkomat,Anulowane,NULL
361,Pocztex,Kurier,Dostarczone,2024-11-14
362,InPost,Kurier,Dostarczone,2024-12-04
363,DPD,Kurier,Dostarczone,2024-11-01
364,UPS,Kurier,Dostarczone,2024-02-06
365,UPS,Kurier,Dostarczone,2023-08-25
366,DPD,Kurier,Anulowane,NULL
367,InPost,Paczkomat,Dostarczone,2024-12-29
368,UPS,Kurier,Dostarczone,2022-04-30
369,InPost,Kurier,Dostarczone,2023-08-21
370,UPS,Kurier Pobranie,Dostarczone,2021-03-09
371,UPS,Kurier Pobranie,Dostarczone,2021-11-27
372,DPD,Kurier Pobranie,Dostarczone,2024-02-01
373,DHL,Paczkomat,Dostarczone,2023-12-08
374,DPD,Kurier,Anulowane,NULL
375,UPS,Kurier,Dostarczone,2024-10-04
376,DHL,Kurier,Dostarczone,2024-12-29
377,DPD,Kurier,Dostarczone,2023-04-03
378,DHL,Kurier,Dostarczone,2024-05-30
379,InPost,Kurier,Dostarczone,2023-04-04
380,Pocztex,Kurier Pobranie,Dostarczone,2024-10-10
381,DPD,Kurier,Dostarczone,2022-02-02
382,DPD,Kurier Pobranie,Dostarczone,2021-10-15
383,UPS,Kurier Pobranie,Dostarczone,2024-10-26
384,DHL,Paczkomat,Dostarczone,2024-11-19
385,Pocztex,Kurier Pobranie,Dostarczone,2024-12-12
386,InPost,Paczkomat,Dostarczone,2023-11-25
387,Pocztex,Kurier Pobranie,Dostarczone,2022-06-17
388,UPS,Kurier Pobranie,Dostarczone,2023-10-11
389,Pocztex,Kurier Pobranie,Dostarczone,2020-04-17
390,InPost,Kurier,Dostarczone,2023-07-13
391,InPost,Paczkomat,Dostarczone,2024-05-12
392,DPD,Kurier,Dostarczone,2024-11-26
393,Pocztex,Kurier Pobranie,Dostarczone,2023-03-31
394,Pocztex,Kurier,Dostarczone,2020-09-08
395,Pocztex,Kurier,Dostarczone,2024-08-14
396,InPost,Paczkomat,Dostarczone,2023-10-24
397,InPost,Kurier Pobranie,Dostarczone,2024-08-16
398,Pocztex,Kurier,Anulowane,NULL
399,DPD,Kurier Pobranie,Dostarczone,2024-07-28
400,DHL,Kurier,Dostarczone,2023-08-11
401,DHL,Kurier Pobranie,Anulowane,NULL
402,InPost,Kurier,Dostarczone,2021-02-25
403,Pocztex,Kurier,Anulowane,NULL
404,UPS,Kurier Pobranie,Dostarczone,2022-07-06
405,InPost,Kurier,Dostarczone,2024-12-18
406,InPost,Paczkomat,Dostarczone,2025-01-02
407,UPS,Kurier,Anulowane,NULL
408,Pocztex,Kurier Pobranie,Dostarczone,2024-11-09
409,DHL,Kurier,Anulowane,NULL
410,DHL,Kurier,Dostarczone,2022-10-10
411,InPost,Paczkomat,Dostarczone,2023-05-19
412,DPD,Kurier Pobranie,Dostarczone,2022-04-03
413,Pocztex,Kurier Pobranie,Dostarczone,2022-05-05
414,Pocztex,Kurier,Dostarczone,2022-09-26
415,UPS,Kurier Pobranie,Dostarczone,2024-09-23
416,Pocztex,Kurier,Anulowane,NULL
417,DHL,Paczkomat,Anulowane,NULL
418,Pocztex,Kurier Pobranie,Anulowane,NULL
419,DPD,Kurier Pobranie,Dostarczone,2022-09-23
420,UPS,Kurier Pobranie,Dostarczone,2021-04-16
421,Pocztex,Kurier Pobranie,Anulowane,NULL
422,UPS,Kurier,Dostarczone,2023-04-17
423,InPost,Paczkomat,Anulowane,NULL
424,UPS,Kurier Pobranie,Dostarczone,2022-12-27
425,DHL,Kurier Pobranie,Dostarczone,2020-06-20
426,InPost,Paczkomat,Anulowane,NULL
427,Pocztex,Kurier,Anulowane,NULL
428,InPost,Paczkomat,Dostarczone,2023-03-11
429,Pocztex,Kurier Pobranie,Dostarczone,2024-10-01
430,DPD,Kurier,Dostarczone,2024-02-02
431,DPD,Kurier,Dostarczone,2021-07-10
432,DHL,Paczkomat,Dostarczone,2023-08-11
433,DPD,Kurier Pobranie,Anulowane,NULL
434,UPS,Kurier,Dostarczone,2021-04-04
435,InPost,Kurier,Dostarczone,2024-05-11
436,DPD,Kurier Pobranie,Anulowane,NULL
437,Pocztex,Kurier Pobranie,Dostarczone,2023-11-06
438,Pocztex,Kurier,Dostarczone,2021-05-19
439,InPost,Kurier,Anulowane,NULL
440,InPost,Paczkomat,Dostarczone,2025-01-05
441,DHL,Kurier Pobranie,Anulowane,NULL
442,InPost,Paczkomat,Dostarczone,2024-10-05
443,DPD,Kurier,Dostarczone,2023-05-08
444,UPS,Kurier,Dostarczone,2024-07-30
445,DPD,Kurier,Dostarczone,2024-08-26
446,UPS,Kurier Pobranie,Dostarczone,2024-08-31
447,Pocztex,Kurier Pobranie,Dostarczone,2023-01-04
448,Pocztex,Kurier Pobranie,Dostarczone,2024-10-28
449,DPD,Kurier Pobranie,Anulowane,NULL
450,DHL,Kurier,Dostarczone,2023-06-24
451,Pocztex,Kurier,Dostarczone,2021-06-23
452,UPS,Kurier,Dostarczone,2023-07-06
453,UPS,Kurier Pobranie,Dostarczone,2021-06-18
454,Pocztex,Kurier Pobranie,Dostarczone,2024-08-30
455,Pocztex,Kurier,Dostarczone,2020-08-12
456,DPD,Kurier,Dostarczone,2020-09-02
457,InPost,Kurier Pobranie,Dostarczone,2024-12-05
458,DPD,Kurier,Dostarczone,2024-06-03
459,Pocztex,Kurier Pobranie,Dostarczone,2024-12-25
460,Pocztex,Kurier Pobranie,Dostarczone,2024-11-15
461,DPD,Kurier,Dostarczone,2021-12-09
462,UPS,Kurier,Anulowane,NULL
463,UPS,Kurier,Dostarczone,2021-01-04
464,Pocztex,Kurier,Dostarczone,2022-12-05
465,DHL,Paczkomat,Dostarczone,2021-11-09
466,DHL,Kurier Pobranie,Anulowane,NULL
467,DPD,Kurier,Anulowane,NULL
468,UPS,Kurier Pobranie,Anulowane,NULL
469,Pocztex,Kurier,Dostarczone,2023-08-05
470,DPD,Kurier,Dostarczone,2020-08-22
471,DPD,Kurier,Dostarczone,2021-01-12
472,InPost,Paczkomat,Dostarczone,2023-01-19
473,DHL,Kurier Pobranie,Dostarczone,2023-12-15
474,UPS,Kurier Pobranie,Dostarczone,2024-08-04
475,Pocztex,Kurier,Dostarczone,2024-05-08
476,Pocztex,Kurier Pobranie,Anulowane,NULL
477,InPost,Kurier Pobranie,Dostarczone,2023-05-27
478,Pocztex,Kurier Pobranie,Anulowane,NULL
479,InPost,Paczkomat,Dostarczone,2023-07-21
480,DHL,Kurier,Anulowane,NULL
481,DPD,Kurier,Dostarczone,2023-05-21
482,InPost,Kurier,Anulowane,NULL
483,InPost,Kurier,Dostarczone,2024-02-13
484,InPost,Kurier Pobranie,Dostarczone,2022-11-26
485,Pocztex,Kurier Pobranie,Dostarczone,2023-11-05
486,DHL,Kurier Pobranie,Anulowane,NULL
487,UPS,Kurier Pobranie,Dostarczone,2024-02-26
488,InPost,Paczkomat,Dostarczone,2024-07-27
489,UPS,Kurier,Dostarczone,2023-04-21
490,InPost,Kurier Pobranie,Dostarczone,2023-11-25
491,DPD,Kurier,Dostarczone,2025-01-08
492,UPS,Kurier,Dostarczone,2022-02-11
493,DPD,Kurier Pobranie,Dostarczone,2023-05-14
494,DHL,Kurier Pobranie,Dostarczone,2021-08-08
495,DHL,Paczkomat,Dostarczone,2024-12-11
496,DPD,Kurier Pobranie,Dostarczone,2023-05-18
497,DPD,Kurier,Anulowane,NULL
498,UPS,Kurier,Anulowane,NULL
499,DHL,Kurier Pobranie,Dostarczone,2024-09-23
500,UPS,Kurier Pobranie,Dostarczone,2020-06-16
501,DHL,Kurier,Anulowane,NULL
502,InPost,Kurier,Dostarczone,2022-03-17
503,InPost,Paczkomat,Dostarczone,2023-01-30
504,UPS,Kurier,Dostarczone,2022-12-29
505,DPD,Kurier,Dostarczone,2024-04-30
506,UPS,Kurier,Anulowane,NULL
507,InPost,Kurier,Dostarczone,2022-05-30
508,Pocztex,Kurier Pobranie,Dostarczone,2024-12-27
509,Pocztex,Kurier Pobranie,Dostarczone,2022-08-10
510,Pocztex,Kurier Pobranie,Anulowane,NULL
511,Pocztex,Kurier Pobranie,Dostarczone,2022-09-30
512,UPS,Kurier,Anulowane,NULL
513,Pocztex,Kurier,Dostarczone,2021-09-11
514,InPost,Paczkomat,Anulowane,NULL
515,DPD,Kurier Pobranie,Dostarczone,2021-07-07
