Id_zamowienia,Id_klienta,Data_zlozenia,Status
59,6845,2024-10-07,Zwrot
60,0,2020-05-28,Zwrot
61,6601,2021-06-10,Zrealizowane
62,5484,2024-02-28,Zrealizowane
63,1901,2024-04-18,Zrealizowane
64,1248,2023-08-12,Zrealizowane
65,0,2024-08-23,Zrealizowane
66,2712,2024-12-02,Zrealizowane
67,3825,2021-12-08,Zrealizowane
68,385,2024-06-19,Zrealizowane
69,0,2020-11-25,Zrealizowane
70,3332,2024-12-23,Odrzucone
71,2609,2024-03-05,Anulowane
72,0,2023-11-01,Anulowane
73,6467,2024-05-03,Zrealizowane
74,0,2022-08-18,Zrealizowane
75,6560,2024-12-30,Zrealizowane
76,3100,2023-01-15,Zrealizowane
77,6546,2023-04-18,Zwrot
78,6572,2024-08-14,Zwrot
79,2335,2024-11-24,Anulowane
80,5220,2021-04-01,Anulowane
81,2789,2023-01-30,Zrealizowane
82,5977,2024-06-20,Zrealizowane
83,3478,2024-12-19,Zrealizowane
84,123,2024-10-04,Zrealizowane
85,4242,2024-07-16,Zwrot
86,0,2020-03-20,Zwrot
87,3457,2021-01-24,Anulowane
88,3128,2023-05-08,Zrealizowane
89,6521,2024-05-22,Zrealizowane
90,2930,2024-12-01,Anulowane
91,0,2020-03-24,Zrealizowane
92,4112,2024-09-16,Zrealizowane
93,3748,2024-09-30,Zrealizowane
94,3085,2023-10-18,Odrzucone
95,2954,2024-07-14,Zrealizowane
96,0,2021-01-18,Zrealizowane
97,5323,2023-01-14,Zrealizowane
98,4864,2023-01-21,Odrzucone
99,4016,2021-06-01,Zrealizowane
100,0,2024-06-20,Zrealizowane
101,2018,2021-10-26,Zwrot
102,3599,2024-07-15,Odrzucone
103,5417,2022-08-18,Zrealizowane
104,4720,2024-11-06,Anulowane
105,4715,2021-03-07,Zrealizowane
106,3757,2023-03-02,Zrealizowane
107,5817,2024-10-13,Zrealizowane
108,5330,2024-01-25,Zrealizowane
109,5328,2021-06-24,Zrealizowane
110,4316,2024-05-24,Zrealizowane
111,1835,2023-06-07,Zrealizowane
112,5749,2023-04-28,Zrealizowane
113,5751,2024-05-06,Zrealizowane
114,4357,2024-10-26,Zrealizowane
115,615,2022-10-06,Zrealizowane
116,367,2023-08-14,Zrealizowane
117,4647,2024-10-29,Odrzucone
118,979,2020-08-30,Anulowane
119,3834,2024-06-30,Zrealizowane
120,4189,2024-08-06,Odrzucone
121,2053,2024-12-17,Zwrot
122,4501,2024-11-28,Zrealizowane
123,1217,2022-08-14,Anulowane
124,2050,2023-06-11,Odrzucone
125,1970,2023-11-30,Zrealizowane
126,4704,2024-05-26,Anulowane
127,0,2020-02-25,Anulowane
128,0,2020-07-13,Zrealizowane
129,2612,2024-04-06,Odrzucone
130,1659,2023-10-15,Zwrot
131,0,2020-10-07,Zrealizowane
132,2262,2023-06-19,Odrzucone
133,4789,2024-01-21,Anulowane
134,3315,2021-05-23,Zrealizowane
135,0,2024-02-25,Zrealizowane
136,1286,2023-09-20,Zrealizowane
137,0,2024-10-06,Zrealizowane
138,1922,2024-12-19,Anulowane
139,235,2024-08-16,Zrealizowane
140,2218,2023-10-16,Zrealizowane
141,6530,2024-02-06,Zrealizowane
142,5363,2022-09-28,Zrealizowane
143,3212,2024-11-09,Zrealizowane
144,435,2024-01-04,Zrealizowane
145,0,2023-09-26,Zrealizowane
146,5080,2020-09-02,Zwrot
147,4959,2024-11-04,Zrealizowane
148,6820,2024-11-23,Zrealizowane
149,4361,2023-12-25,Odrzucone
150,412,2022-10-05,Zwrot
151,2773,2024-06-21,Zrealizowane
152,0,2023-11-17,Zwrot
153,4082,2024-04-05,Zwrot
154,4054,2023-03-16,Zrealizowane
155,2733,2023-11-04,Zrealizowane
156,2012,2023-10-23,Zrealizowane
157,0,2021-04-06,Zrealizowane
158,5446,2024-12-08,Zrealizowane
159,5611,2022-03-08,Zrealizowane
160,6736,2024-12-05,Zrealizowane
161,878,2024-12-19,Zrealizowane
162,2820,2023-06-05,Zwrot
163,359,2024-09-01,Zrealizowane
164,0,2021-11-21,Zrealizowane
165,6767,2024-09-28,Zrealizowane
166,463,2023-07-13,Zrealizowane
167,2940,2023-08-02,Zrealizowane
168,4939,2023-07-14,Zrealizowane
169,1458,2024-02-04,Zwrot
170,3142,2023-04-29,Anulowane
171,122,2024-02-06,Zrealizowane
172,2747,2021-08-22,Zrealizowane
173,2121,2022-01-01,Zrealizowane
174,3573,2023-02-28,Odrzucone
175,0,2020-11-08,Zrealizowane
176,4631,2024-07-29,Odrzucone
177,6142,2024-07-16,Odrzucone
178,988,2022-02-05,Anulowane
179,0,2020-07-19,Zrealizowane
180,915,2023-02-04,Zrealizowane
181,3775,2024-09-28,Odrzucone
182,5597,2024-04-18,Zrealizowane
183,6281,2023-03-31,Zrealizowane
184,4093,2024-02-13,Zrealizowane
185,2515,2022-02-24,Zrealizowane
186,1560,2023-10-01,Zrealizowane
187,0,2020-01-30,Zrealizowane
188,33,2024-08-25,Zrealizowane
189,266,2024-04-05,Zrealizowane
190,0,2024-03-30,Zrealizowane
191,3940,2020-12-15,Zrealizowane
192,0,2020-08-29,Zrealizowane
193,698,2024-11-23,Zrealizowane
194,4115,2024-07-06,Zrealizowane
195,5663,2024-09-18,Anulowane
196,5378,2024-11-30,Odrzucone
197,3817,2024-09-27,Zrealizowane
198,6252,2024-11-22,Zrealizowane
199,4982,2022-08-20,Odrzucone
200,2032,2020-03-31,Zrealizowane
201,6769,2024-02-25,Zrealizowane
202,2576,2024-12-25,Zrealizowane
203,0,2020-04-07,Zwrot
204,6497,2022-12-22,Zrealizowane
205,3991,2021-01-02,Zrealizowane
206,1331,2024-10-28,Zrealizowane
207,4991,2021-09-04,Zwrot
208,2745,2023-01-18,Zrealizowane
209,0,2020-08-13,Zrealizowane
210,0,2022-10-11,Zrealizowane
211,0,2023-09-05,Odrzucone
212,6756,2024-07-30,Zrealizowane
213,3653,2024-11-22,Anulowane
214,959,2023-06-17,Odrzucone
215,913,2024-12-14,Zrealizowane
216,5965,2024-06-10,Zrealizowane
217,2512,2023-01-29,Odrzucone
218,734,2023-07-16,Zrealizowane
219,6352,2023-05-23,Anulowane
220,6449,2024-11-22,Zrealizowane
221,4675,2021-09-18,Zrealizowane
222,1500,2024-12-07,Zrealizowane
223,1614,2024-03-06,Zrealizowane
224,4424,2024-09-15,Zrealizowane
225,1449,2021-11-25,Zrealizowane
226,6779,2023-05-15,Odrzucone
227,0,2020-12-06,Zrealizowane
228,0,2020-10-28,Zrealizowane
229,6340,2023-03-25,Zrealizowane
230,1606,2024-12-14,Zrealizowane
231,3347,2024-09-16,Zwrot
232,4864,2021-10-09,Zrealizowane
233,6258,2024-10-17,Zrealizowane
234,0,2022-10-10,Odrzucone
235,582,2024-11-29,Zrealizowane
236,4620,2024-12-23,Zrealizowane
237,6315,2024-09-11,Zrealizowane
238,0,2020-02-23,Zrealizowane
239,5497,2023-01-10,Zwrot
240,5677,2023-07-10,Zrealizowane
241,4343,2024-01-26,Zwrot
242,5112,2024-06-10,Zrealizowane
243,0,2023-11-21,Odrzucone
244,4362,2020-07-21,Odrzucone
245,0,2020-09-15,Zrealizowane
246,0,2022-10-03,Zrealizowane
247,0,2021-04-25,Zrealizowane
248,1135,2023-11-22,Odrzucone
249,6930,2024-09-25,Odrzucone
250,5456,2024-06-09,Zrealizowane
251,6029,2024-12-28,Zrealizowane
252,1809,2020-09-12,Zrealizowane
253,6920,2024-04-14,Zrealizowane
254,2963,2023-12-20,Zrealizowane
255,5515,2021-07-17,Zrealizowane
256,5535,2024-07-30,Odrzucone
257,700,2023-01-14,Zrealizowane
258,2841,2024-01-19,Zrealizowane
259,4576,2024-12-21,Zrealizowane
260,0,2023-06-28,Zwrot
261,5540,2021-08-11,Zrealizowane
262,1001,2022-07-01,Anulowane
263,0,2020-07-23,Zrealizowane
264,5891,2022-05-28,Zrealizowane
265,1561,2023-08-25,Zrealizowane
266,1339,2023-06-22,Zrealizowane
267,2908,2024-11-09,Odrzucone
268,2589,2024-01-25,Anulowane
269,0,2022-11-10,Zrealizowane
270,4249,2024-07-27,Zrealizowane
271,2736,2024-03-03,Zrealizowane
272,6263,2023-02-14,Zwrot
273,4201,2023-11-03,Zrealizowane
274,6749,2022-11-19,Zrealizowane
275,1266,2024-05-02,Anulowane
276,4794,2024-05-09,Zwrot
277,1208,2024-07-10,Zrealizowane
278,1329,2022-02-27,Zrealizowane
279,3609,2024-04-01,Zrealizowane
280,0,2021-01-08,Zrealizowane
281,0,2020-07-20,Zrealizowane
282,640,2023-07-09,Anulowane
283,3021,2021-06-16,Zrealizowane
284,0,2023-09-15,Zrealizowane
285,6396,2024-12-24,Zrealizowane
286,5683,2020-09-12,Zrealizowane
287,6294,2023-06-16,Zwrot
288,1008,2024-07-26,Zrealizowane
289,5495,2022-07-13,Zrealizowane
290,928,2024-03-01,Odrzucone
291,5574,2024-05-20,Anulowane
292,4416,2024-07-31,Odrzucone
293,2562,2024-07-20,Odrzucone
294,6536,2023-05-11,Anulowane
295,4812,2023-05-15,Zrealizowane
296,3201,2023-05-02,Zwrot
297,3890,2024-07-04,Zwrot
298,2019,2020-07-20,Zrealizowane
299,4989,2023-05-04,Zrealizowane
300,5483,2024-02-14,Zrealizowane
301,0,2022-12-21,Zrealizowane
302,0,2022-06-27,Zrealizowane
303,6984,2024-07-27,Zrealizowane
304,5019,2024-08-16,Odrzucone
305,868,2022-06-24,Zrealizowane
306,0,2022-12-02,Zrealizowane
307,1468,2024-07-12,Zrealizowane
308,1715,2024-10-25,Zrealizowane
309,6606,2022-04-30,Odrzucone
310,2976,2023-10-03,Zrealizowane
311,6957,2022-01-20,Zrealizowane
312,3290,2024-11-08,Zrealizowane
313,0,2020-04-16,Zrealizowane
314,4497,2023-12-26,Zrealizowane
315,0,2021-03-11,Zwrot
316,1625,2024-05-06,Odrzucone
317,5998,2023-03-18,Anulowane
318,6346,2023-09-12,Zwrot
319,6847,2024-12-14,Zrealizowane
320,5688,2023-09-01,Anulowane
321,3572,2024-11-18,Zrealizowane
322,4681,2024-08-22,Zrealizowane
323,0,2022-02-08,Zrealizowane
324,0,2022-10-29,Zrealizowane
325,3849,2022-08-13,Zrealizowane
326,1927,2024-05-13,Zrealizowane
327,2990,2021-01-24,Zwrot
328,1302,2024-11-13,Zrealizowane
329,2866,2024-06-28,Zrealizowane
330,632,2024-11-11,Anulowane
331,3896,2024-03-12,Zrealizowane
332,1513,2024-11-29,Zrealizowane
333,4613,2022-11-10,Zrealizowane
334,959,2021-05-12,Zrealizowane
335,4979,2022-10-24,Zwrot
336,0,2024-06-14,Zrealizowane
337,4794,2024-05-13,Zrealizowane
338,4753,2023-08-01,Zrealizowane
339,1003,2024-11-23,Anulowane
340,927,2024-10-23,Anulowane
341,5767,2022-12-03,Zrealizowane
342,697,2022-04-16,Zrealizowane
343,0,2023-08-27,Zrealizowane
344,4155,2024-01-21,Zrealizowane
345,6547,2024-01-31,Zrealizowane
346,2255,2023-01-09,Zwrot
347,6748,2023-08-30,Zrealizowane
348,926,2024-01-20,Zrealizowane
349,2452,2024-08-23,Zrealizowane
350,2950,2023-06-24,Zrealizowane
351,2620,2024-05-05,Zrealizowane
352,6780,2024-01-21,Zrealizowane
353,6372,2023-11-02,Odrzucone
354,5338,2023-07-17,Zrealizowane
355,3622,2024-02-24,Zrealizowane
356,5717,2023-12-22,Zrealizowane
357,1456,2024-06-29,Zrealizowane
358,0,2020-04-29,Zrealizowane
359,2222,2021-12-06,Zrealizowane
360,174,2024-12-31,Odrzucone
361,2999,2024-11-10,Zwrot
362,3149,2024-11-27,Zrealizowane
363,6443,2024-10-23,Zrealizowane
364,0,2024-01-27,Zrealizowane
365,1598,2023-08-19,Zrealizowane
366,5856,2024-01-25,Odrzucone
367,4296,2024-12-28,Zrealizowane
368,6146,2022-04-25,Zwrot
369,5171,2023-08-12,Zrealizowane
370,0,2021-03-04,Zwrot
371,0,2021-11-21,Zrealizowane
372,3158,2024-01-28,Zrealizowane
373,6827,2023-12-01,Zrealizowane
374,0,2023-02-10,Odrzucone
375,2465,2024-09-30,Zrealizowane
376,3771,2024-12-28,Zrealizowane
377,254,2023-03-26,Zrealizowane
378,169,2024-05-23,Zwrot
379,5998,2023-04-01,Zrealizowane
380,1188,2024-10-05,Zrealizowane
381,844,2022-01-25,Zrealizowane
382,2968,2021-10-11,Zrealizowane
383,3034,2024-10-21,Zrealizowane
384,1101,2024-11-14,Zrealizowane
385,5808,2024-12-03,Zrealizowane
386,205,2023-11-21,Zrealizowane
387,0,2022-06-15,Zrealizowane
388,2252,2023-10-03,Zrealizowane
389,0,2020-04-15,Zrealizowane
390,6228,2023-07-07,Zrealizowane
391,1766,2024-05-08,Zrealizowane
392,2287,2024-11-18,Zrealizowane
393,2559,2023-03-21,Zrealizowane
394,0,2020-09-03,Zrealizowane
395,4562,2024-08-06,Zrealizowane
396,5701,2023-10-17,Zrealizowane
397,6125,2024-08-14,Zrealizowane
398,0,2022-02-16,Odrzucone
399,6315,2024-07-20,Zrealizowane
400,0,2023-08-02,Zrealizowane
401,1278,2022-09-07,Odrzucone
402,0,2021-02-19,Zrealizowane
403,0,2020-04-10,Odrzucone
404,0,2022-07-02,Zrealizowane
405,1235,2024-12-11,Zrealizowane
406,2653,2024-12-23,Zrealizowane
407,6892,2024-08-05,Anulowane
408,3665,2024-11-08,Zrealizowane
409,1878,2024-04-05,Anulowane
410,0,2022-10-08,Zrealizowane
411,0,2023-05-13,Zrealizowane
412,0,2022-03-29,Zrealizowane
413,2730,2022-05-03,Zrealizowane
414,4006,2022-09-19,Zwrot
415,3196,2024-09-17,Zrealizowane
416,3496,2024-07-29,Anulowane
417,4315,2023-11-14,Anulowane
418,6606,2024-08-01,Odrzucone
419,5185,2022-09-16,Zwrot
420,6810,2021-04-11,Zrealizowane
421,6082,2022-07-19,Anulowane
422,1425,2023-04-13,Zrealizowane
423,1165,2024-09-10,Anulowane
424,1864,2022-12-21,Zrealizowane
425,0,2020-06-14,Zrealizowane
426,2654,2022-11-21,Odrzucone
427,0,2020-01-15,Odrzucone
428,2133,2023-03-06,Zrealizowane
429,4166,2024-09-30,Zrealizowane
430,2444,2024-01-28,Zrealizowane
431,0,2021-07-03,Zrealizowane
432,0,2023-08-03,Zwrot
433,1538,2024-07-15,Anulowane
434,1542,2021-03-31,Zwrot
435,4130,2024-05-02,Zrealizowane
436,5450,2022-01-29,Odrzucone
437,1304,2023-11-01,Zrealizowane
438,0,2021-05-16,Zrealizowane
439,124,2023-09-17,Anulowane
440,2848,2024-12-28,Zrealizowane
441,687,2023-11-24,Odrzucone
442,1536,2024-09-30,Zwrot
443,5915,2023-05-06,Zrealizowane
444,1071,2024-07-23,Zrealizowane
445,2516,2024-08-19,Zrealizowane
446,3687,2024-08-23,Zwrot
447,4317,2022-12-26,Zrealizowane
448,4230,2024-10-20,Zrealizowane
449,5255,2022-08-29,Anulowane
450,0,2023-06-18,Zwrot
451,844,2021-06-23,Zwrot
452,6965,2023-07-03,Zwrot
453,1776,2021-06-14,Zrealizowane
454,0,2024-08-26,Zrealizowane
455,0,2020-08-04,Zrealizowane
456,0,2020-08-23,Zrealizowane
457,213,2024-11-29,Zrealizowane
458,4480,2024-05-28,Zrealizowane
459,6084,2024-12-22,Zrealizowane
460,885,2024-11-06,Zrealizowane
461,0,2021-12-04,Zrealizowane
462,5046,2022-07-01,Anulowane
463,0,2020-12-30,Zwrot
464,0,2022-12-02,Zrealizowane
465,3194,2021-11-04,Zrealizowane
466,3466,2024-05-14,Anulowane
467,2865,2024-01-26,Odrzucone
468,1866,2022-11-17,Anulowane
469,869,2023-07-30,Zrealizowane
470,0,2020-08-19,Zrealizowane
471,6776,2021-01-04,Zrealizowane
472,1269,2023-01-10,Zrealizowane
473,4251,2023-12-05,Zrealizowane
474,3543,2024-07-28,Zrealizowane
475,260,2024-05-07,Zrealizowane
476,4185,2022-09-19,Odrzucone
477,1955,2023-05-15,Zrealizowane
478,5683,2023-02-06,Odrzucone
479,5467,2023-07-18,Zrealizowane
480,4412,2022-06-30,Odrzucone
481,196,2023-05-15,Zrealizowane
482,5208,2024-02-15,Odrzucone
483,5254,2024-02-08,Zrealizowane
484,159,2022-11-19,Zrealizowane
485,5025,2023-11-04,Zrealizowane
486,0,2023-05-07,Odrzucone
487,4475,2024-02-17,Zrealizowane
488,6470,2024-07-22,Zrealizowane
489,3945,2023-04-16,Zrealizowane
490,0,2023-11-21,Zrealizowane
491,3396,2024-12-29,Zrealizowane
492,0,2022-02-04,Zrealizowane
493,2907,2023-05-06,Zwrot
494,0,2021-08-07,Zrealizowane
495,5369,2024-12-05,Zrealizowane
496,4861,2023-05-11,Zwrot
497,6016,2023-02-08,Odrzucone
498,3821,2024-08-27,Odrzucone
499,4866,2024-09-18,Zrealizowane
500,0,2020-06-13,Zrealizowane
501,3336,2024-10-10,Odrzucone
502,5534,2022-03-11,Zrealizowane
503,4300,2023-01-24,Zrealizowane
504,5554,2022-12-20,Zrealizowane
505,3874,2024-04-27,Zwrot
506,2033,2023-06-15,Anulowane
507,4010,2022-05-26,Zrealizowane
508,2259,2024-12-23,Zrealizowane
509,0,2022-08-04,Zrealizowane
510,1150,2024-10-23,Odrzucone
511,5480,2022-09-23,Zrealizowane
512,0,2021-07-12,Odrzucone
513,0,2021-09-05,Zrealizowane
514,2717,2024-09-28,Odrzucone
515,1809,2021-06-26,Zwrot
516,1549,2024-05-22,Zrealizowane
517,3264,2024-01-26,Zrealizowane
518,0,2024-03-26,Zwrot
519,0,2024-10-12,Odrzucone
520,4670,2022-06-07,Zrealizowane
521,5554,2023-01-04,Zwrot
522,1479,2023-11-17,Zrealizowane
523,3824,2024-08-02,Zrealizowane
524,5309,2023-05-22,Zrealizowane
525,74,2024-12-07,Zrealizowane
526,3729,2022-03-01,Zwrot
527,0,2024-06-01,Zrealizowane
528,531,2024-03-09,Zrealizowane
529,6071,2021-08-12,Zrealizowane
530,3814,2024-09-05,Zrealizowane
531,6605,2024-04-03,Odrzucone
532,5829,2023-09-30,Zrealizowane
533,4816,2024-12-25,Zrealizowane
534,4887,2024-08-25,Odrzucone
535,3308,2023-04-16,Zrealizowane
536,2172,2021-10-11,Zrealizowane
537,6441,2024-11-17,Zrealizowane
538,2057,2023-10-13,Zrealizowane
539,2379,2023-09-30,Zrealizowane
540,5291,2022-01-31,Odrzucone
541,6349,2024-12-13,Zrealizowane
542,2129,2023-09-07,Odrzucone
543,5620,2020-12-25,Zrealizowane
544,2274,2024-02-15,Zrealizowane
545,0,2021-05-02,Zrealizowane
546,4310,2023-04-04,Zrealizowane
547,4718,2024-11-06,Zrealizowane
548,5590,2024-05-02,Zwrot
549,3908,2023-10-09,Zrealizowane
550,5723,2024-06-23,Zrealizowane
551,2615,2021-06-20,Zrealizowane
552,6549,2020-04-08,Odrzucone
553,938,2022-05-03,Zrealizowane
554,2069,2024-11-07,Zrealizowane
555,6208,2024-03-27,Zrealizowane
556,3513,2024-12-31,Zrealizowane
557,724,2024-10-13,Zwrot
558,5904,2024-09-12,Zrealizowane
559,3840,2023-07-17,Odrzucone
560,6433,2023-04-20,Zrealizowane
561,234,2021-11-11,Zrealizowane
562,3978,2024-07-23,Zrealizowane
563,530,2024-09-28,Zrealizowane
564,2908,2023-05-18,Zwrot
565,5682,2021-10-26,Zrealizowane
566,420,2022-03-21,Zrealizowane
567,2897,2021-08-17,Zrealizowane
568,5894,2023-02-24,Anulowane
569,5967,2024-12-26,Zrealizowane
570,3461,2024-05-08,Zrealizowane
571,4675,2021-07-17,Zrealizowane
572,777,2024-07-18,Zrealizowane
573,0,2022-12-17,Zrealizowane
574,4086,2023-04-18,Odrzucone
575,5605,2024-08-25,Zrealizowane
576,6221,2024-02-08,Zrealizowane
577,5458,2022-04-23,Zrealizowane
578,6077,2024-09-20,Zrealizowane
579,1982,2024-07-19,Zrealizowane
580,0,2023-10-28,Zrealizowane
581,0,2023-02-10,Zrealizowane
582,0,2022-07-16,Zrealizowane
583,6283,2024-11-15,Zrealizowane
584,0,2022-07-09,Zrealizowane
585,0,2021-10-21,Zrealizowane
586,0,2020-01-03,Zrealizowane
587,3471,2022-03-02,Zwrot
588,6252,2024-03-08,Zrealizowane
589,6389,2021-07-04,Zrealizowane
590,3588,2022-07-15,Zrealizowane
591,89,2023-07-04,Anulowane
592,0,2021-05-13,Anulowane
593,2385,2023-10-11,Zrealizowane
594,0,2020-09-22,Zwrot
595,1996,2022-06-17,Zrealizowane
596,0,2024-06-05,Zrealizowane
597,81,2023-06-30,Zwrot
598,3959,2022-03-15,Zrealizowane
599,0,2020-10-13,Zrealizowane
600,1459,2024-12-31,Zrealizowane
601,4051,2024-12-23,Zrealizowane
602,1147,2024-09-17,Zrealizowane
603,2169,2021-08-19,Zrealizowane
604,2825,2023-12-29,Zrealizowane
605,447,2023-03-19,Zrealizowane
606,3460,2023-02-14,Zrealizowane
607,0,2023-04-15,Zrealizowane
608,466,2024-07-06,Zrealizowane
609,6453,2024-12-01,Anulowane
610,0,2022-02-17,Odrzucone
611,5627,2023-10-05,Zrealizowane
612,5221,2024-08-09,Zrealizowane
613,104,2024-07-11,Anulowane
614,4838,2024-06-18,Zrealizowane
615,838,2024-10-18,Zrealizowane
616,1755,2024-02-04,Zrealizowane
617,5287,2024-02-25,Zrealizowane
618,0,2024-03-30,Zwrot
619,0,2023-04-09,Zrealizowane
620,3551,2024-12-12,Zwrot
621,2324,2022-04-20,Zrealizowane
622,0,2020-12-03,Odrzucone
623,5997,2023-05-05,Zrealizowane
624,4203,2024-08-30,Zrealizowane
625,0,2023-02-26,Zrealizowane
626,3668,2022-01-27,Zrealizowane
627,3557,2024-06-11,Zrealizowane
628,510,2023-04-11,Zrealizowane
629,405,2021-08-03,Zrealizowane
630,0,2022-04-28,Odrzucone
631,5528,2024-12-19,Zrealizowane
632,116,2022-09-22,Zrealizowane
633,2684,2024-09-07,Zrealizowane
634,3332,2024-12-11,Zrealizowane
635,6055,2024-11-07,Zrealizowane
636,3095,2024-11-13,Zrealizowane
637,0,2023-12-28,Odrzucone
638,5020,2022-12-01,Zwrot
639,4039,2024-12-04,Anulowane
640,3518,2024-10-05,Zrealizowane
641,5352,2022-03-01,Zrealizowane
642,1269,2022-02-27,Zwrot
643,5457,2022-07-26,Zrealizowane
644,1109,2023-10-10,Zrealizowane
645,4230,2022-06-22,Zrealizowane
646,4583,2023-06-29,Zrealizowane
647,3619,2024-07-19,Zrealizowane
648,4778,2024-12-29,Zrealizowane
649,5897,2024-03-29,Zwrot
650,0,2024-11-13,Zrealizowane
651,5076,2020-10-24,Zrealizowane
652,0,2023-09-23,Zrealizowane
653,1881,2023-06-04,Zwrot
654,4209,2024-06-06,Anulowane
655,5865,2022-09-18,Zrealizowane
656,4833,2024-12-21,Zwrot
657,473,2023-12-20,Anulowane
658,4139,2024-11-05,Zwrot
659,5750,2023-06-30,Anulowane
660,2618,2021-07-26,Anulowane
661,0,2023-05-13,Zrealizowane
662,6748,2022-03-29,Zrealizowane
663,4986,2024-01-28,Zrealizowane
664,1141,2023-07-28,Zrealizowane
665,0,2023-03-29,Odrzucone
666,6777,2024-01-19,Zrealizowane
667,6801,2024-07-06,Zrealizowane
668,4535,2024-07-17,Zwrot
669,6397,2024-06-12,Zrealizowane
670,5799,2022-10-23,Zrealizowane
671,3454,2024-12-22,Anulowane
672,0,2022-04-24,Anulowane
673,4129,2022-06-04,Zwrot
674,6088,2024-06-11,Anulowane
675,3662,2023-01-25,Zrealizowane
676,857,2024-11-22,Zrealizowane
677,0,2022-04-30,Zrealizowane
678,3163,2024-09-17,Zwrot
679,1745,2024-12-08,Zrealizowane
680,0,2020-08-28,Zrealizowane
681,6212,2024-05-03,Odrzucone
682,5537,2024-02-08,Odrzucone
683,4827,2024-12-08,Odrzucone
684,0,2023-08-18,Zwrot
685,6623,2024-06-22,Zrealizowane
686,2048,2024-06-14,Anulowane
687,1865,2024-10-10,Zrealizowane
688,4025,2024-08-06,Zrealizowane
689,2196,2024-12-09,Zrealizowane
690,2698,2024-07-05,Zrealizowane
691,0,2022-02-03,Zrealizowane
692,5530,2024-07-12,Zrealizowane
693,6214,2021-11-22,Zrealizowane
694,3496,2023-10-22,Anulowane
695,0,2021-12-30,Zrealizowane
696,0,2020-03-19,Odrzucone
697,3758,2022-08-08,Zrealizowane
698,2353,2023-02-05,Zrealizowane
699,0,2024-02-08,Odrzucone
700,4104,2024-12-26,Zrealizowane
701,411,2024-08-11,Zrealizowane
702,0,2022-02-09,Zrealizowane
703,2399,2022-11-26,Anulowane
704,4933,2021-09-13,Anulowane
705,3064,2024-12-30,Zrealizowane
706,4318,2024-01-20,Zrealizowane
707,3195,2022-05-05,Zrealizowane
708,4176,2021-11-13,Zrealizowane
709,1158,2021-01-08,Zrealizowane
710,5010,2024-01-28,Zrealizowane
711,1503,2024-07-13,Zrealizowane
712,552,2021-03-21,Zrealizowane
713,5495,2022-11-14,Zrealizowane
714,0,2023-01-21,Zrealizowane
715,5448,2024-07-20,Zrealizowane
716,5471,2024-09-02,Zrealizowane
717,2862,2021-06-02,Zrealizowane
718,3190,2020-08-04,Zrealizowane
719,2182,2024-07-26,Zrealizowane
720,0,2024-02-05,Zrealizowane
721,319,2024-11-06,Zrealizowane
722,3023,2022-08-15,Zwrot
723,6008,2023-10-08,Zrealizowane
724,5842,2023-12-21,Zrealizowane
725,5148,2024-02-28,Zrealizowane
726,5324,2022-11-18,Anulowane
